id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
1391,CDS,cde_fo,USDINR,2585,OPTCUR,PE,79.75,USDINR16DECEMBER2279.75PE,USDINR22D79.75PE,USDINR 16DEC22 79.75 PE,16-12-2022,1,0.0025
1392,CDS,cde_fo,USDJPY,2586,OPTCUR,CE,132,USDJPY28DECEMBER22132CE,USDJPY22DEC132CE,USDJPY 28DEC22 132 CE,28-12-2022,1,0.01
1393,CDS,cde_fo,EURINR,2587,OPTCUR,CE,79,EURINR21OCTOBER2279CE,EURINR22O79CE,EURINR 21OCT22 79 CE,21-10-2022,1,0.0025
1394,CDS,cde_fo,EURINR,2588,OPTCUR,PE,84,EURINR28DECEMBER2284PE,EURINR22DEC84PE,EURINR 28DEC22 84 PE,28-12-2022,1,0.0025
1395,CDS,cde_fo,EURUSD,2589,OPTCUR,PE,1.055,EURUSD28JUNE231.055PE,EURUSD23JUN1.055PE,EURUSD 28JUN23 1.055 PE,28-06-2023,1,0.0001
1396,CDS,cde_fo,EURUSD,2590,OPTCUR,CE,1.06,EURUSD28JUNE231.06CE,EURUSD23JUN1.06CE,EURUSD 28JUN23 1.06 CE,28-06-2023,1,0.0001
1397,CDS,cde_fo,GBPINR,2591,OPTCUR,PE,85.75,GBPINR11NOVEMBER2285.75PE,GBPINR22N85.75PE,GBPINR 11NOV22 85.75 PE,11-11-2022,1,0.0025
1398,CDS,cde_fo,EURUSD,2592,OPTCUR,PE,1.06,EURUSD28JUNE231.06PE,EURUSD23JUN1.06PE,EURUSD 28JUN23 1.06 PE,28-06-2023,1,0.0001
1399,CDS,cde_fo,USDINR,2593,OPTCUR,CE,80,USDINR16DECEMBER2280CE,USDINR22D80CE,USDINR 16DEC22 80 CE,16-12-2022,1,0.0025
1400,CDS,cde_fo,USDINR,2594,OPTCUR,PE,80,USDINR16DECEMBER2280PE,USDINR22D80PE,USDINR 16DEC22 80 PE,16-12-2022,1,0.0025
1401,CDS,cde_fo,GBPINR,2596,OPTCUR,CE,87.25,GBPINR21OCTOBER2287.25CE,GBPINR22O87.25CE,GBPINR 21OCT22 87.25 CE,21-10-2022,1,0.0025
1402,CDS,cde_fo,GBPINR,2597,OPTCUR,PE,87.25,GBPINR21OCTOBER2287.25PE,GBPINR22O87.25PE,GBPINR 21OCT22 87.25 PE,21-10-2022,1,0.0025
1403,CDS,cde_fo,GBPINR,2598,OPTCUR,PE,84.75,GBPINR02DECEMBER2284.75PE,GBPINR22D84.75PE,GBPINR 02DEC22 84.75 PE,02-12-2022,1,0.0025
1404,CDS,cde_fo,GBPINR,2599,OPTCUR,CE,87.25,GBPINR27OCTOBER2287.25CE,GBPINR22OCT87.25CE,GBPINR 27OCT22 87.25 CE,27-10-2022,1,0.0025
1405,CDS,cde_fo,EURUSD,2600,OPTCUR,CE,1.065,EURUSD28JUNE231.065CE,EURUSD23JUN1.065CE,EURUSD 28JUN23 1.065 CE,28-06-2023,1,0.0001
1406,CDS,cde_fo,EURUSD,2601,OPTCUR,PE,1.065,EURUSD28JUNE231.065PE,EURUSD23JUN1.065PE,EURUSD 28JUN23 1.065 PE,28-06-2023,1,0.0001
1407,CDS,cde_fo,EURUSD,2602,OPTCUR,CE,1.07,EURUSD28JUNE231.07CE,EURUSD23JUN1.07CE,EURUSD 28JUN23 1.07 CE,28-06-2023,1,0.0001
1408,CDS,cde_fo,EURUSD,2603,OPTCUR,PE,1.07,EURUSD28JUNE231.07PE,EURUSD23JUN1.07PE,EURUSD 28JUN23 1.07 PE,28-06-2023,1,0.0001
1409,CDS,cde_fo,USDJPY,2604,OPTCUR,PE,132,USDJPY28DECEMBER22132PE,USDJPY22DEC132PE,USDJPY 28DEC22 132 PE,28-12-2022,1,0.01
1410,CDS,cde_fo,USDJPY,2605,OPTCUR,CE,132.5,USDJPY28DECEMBER22132.5CE,USDJPY22DEC132.5CE,USDJPY 28DEC22 132.5 CE,28-12-2022,1,0.01
1411,CDS,cde_fo,GBPINR,2606,OPTCUR,CE,82.75,GBPINR28OCTOBER2282.75CE,GBPINR22O82.75CE,GBPINR 28OCT22 82.75 CE,28-10-2022,1,0.0025
1412,CDS,cde_fo,GBPINR,2607,OPTCUR,PE,82.75,GBPINR28OCTOBER2282.75PE,GBPINR22O82.75PE,GBPINR 28OCT22 82.75 PE,28-10-2022,1,0.0025
1413,CDS,cde_fo,EURUSD,2608,OPTCUR,CE,1.075,EURUSD28JUNE231.075CE,EURUSD23JUN1.075CE,EURUSD 28JUN23 1.075 CE,28-06-2023,1,0.0001
1414,CDS,cde_fo,EURUSD,2609,OPTCUR,PE,1.075,EURUSD28JUNE231.075PE,EURUSD23JUN1.075PE,EURUSD 28JUN23 1.075 PE,28-06-2023,1,0.0001
